,问题,A,B,C,D,E,F,G,答案
0,用万用表测电阻时应注意的事项有（）。,不可带电测试,测前在Ω档将表笔短接用“Ω调零器”调整零位，如调不到零位则可能要换电池,眼睛正视表盘读数以减少视差,测试是应注意表针的正负极性，防止极性接反带来附加误差,,,,ABC
1,电工仪表按准确等级分有（）。,1.0,2.0,3.0,4.0,,,,ABC
2,电工仪表按相别分类有（）。,单相,二相,三相三线,三相四线,,,,ACD
3,电工仪表按测量对象分类有（）。,电流表,气压表,欧姆表,接地电阻测量仪,,,,ACD
4,库房环境“三防”措施有哪些具体内容（）,定期打扫,定期盘库,通风,空调控制湿度。,,,,ACD
5,以下（）场所必须使用铜芯线。,易燃、易爆场合。,重要的建筑，重要的资料室、档案室、库房。,人员聚集的公共场所、娱乐场所、舞台照明。,计量等二次回路。,,,,ABCD
6,供电企业应当按照（）向用户计收电费。,国家核准的电价,地方政府规定的电价,供电企业规定的电价,用电计量装置的记录,,,,AD
7,电力生产与电网运行应当遵循的原则是（）。,安全,优质,经济,可靠,,,,ABC
8,电力供应与使用双方应当根据（）原则，按照国务院制定的电力供应与使用办法签订供用电合同，确定双方*的权利和义务。,平等互利,利益共享,平等自愿,协商一致。,,,,CD
9,对同一电网内的（）用户，执行相同的电价标准。,同一电压等级,同一用电类别,同一地区,同一装表。,,,,AB
10,在直流电路中（　）。,电流的频率为零,电感的感抗为零,电容的容抗为零,电容的容抗为无穷大,,,,ABD
11,三相交流电具有以下特性（　）。,频率相同,电动势振幅相等,相位互差120°角,电流相等,,,,ABC
12,下列关于电压的的定义正确的是（　）。,在交流电路中，每相与中性线之间的电压称为相电压,在三相交流电路中，相与相之间的电压称为相电压,在三相交流电路中，相与相之间的电压称为线电压,在交流电路中，每相与零线之间的电压称为线电压,,,,AC
13,使用钳型电流表进行测量时，应注意的有（）。,使用钳型电流表前，先应注意其测量档位，使其指针正确指示，不能使指针过头或指示过小,可以同时钳住两根绝缘导线或多根绝缘导线,测量时铁芯钳口要紧密闭合，被测导线尽量置于孔中心，以减小测量误差,要保持安全距离，不得造成相间短路或接地，烧坏设备或危及人身安全,,,,ABCD
14,在带电的低压线路上挑火和搭火时，应注意（）。,选好工作位置,分清相线和地线,挑火时，先挑相线，再挑零线,搭火时，先搭零线，再搭相线,,,,ABCD
15,使用活络扳手时，要注意（）。,应按螺母大小选用适当大小的扳手,扳动大螺母时，手应握在手柄尾部,活络扳手可反方向使用,不得当撬棒或锤子使用,,,,ABD
16,进户线产权及维护管理是按（）划分的。,进户线工作包括进户点、进户杆、进户线、进户管理,进户线与接户线接头处属于责任分界点，从搭头起到用户内部的配电装置属用户设备，由用户负责保管,总熔丝盒及电能计量装置，属供电公司设备，并由其负责维护管理,总熔丝盒及电能计量装置，属客户设备，并由其负责维护管理,,,,ABC
17,绝缘材料有的性能指标是（）。,绝缘强度,抗张强度,比重,膨胀系数,,,,ABCD
18,电力线缆长期过载运行，其后果是（）。,导线伸长弧垂增大，引起对地安全距离不合格，风偏角也加大,导线截面变小或发生断股，使导线拉断力减弱,接头接触电阻变大，发热甚至烧坏造成断线,线路电能损耗增大,,,,ABCD
19,编写二次线头的号排的要求为（）。,首先认清每个设备的安装单位的安装编号或元件的代表符号,本线头应编写本线头另一端的安装单位的编号或元件代表符号及元件的接线端子号码,认清每个安装单位或元件接线端子的顺序号码,计量回路的端子排组应用空端子排与其他回路的端子排隔开,,,,ABC
20,铜芯导线的优缺点是（）。,导线电气性能好,接头不易发热,价格较贵,线质软故敷设较方便,,,,ABC
21,电气设备的接线桩头接线时要注意（）。,多芯线接入针孔式接线桩时，若孔小线粗，可将线的中间芯线剪去一些，然后重新绞紧插入针孔，旋紧螺*丝,若接线桩头有两个螺丝，则应两个都要旋紧,多芯线一定要先绞紧后再接线,圆圈的大小要适当，不能太小或太大，弯的方向应是螺丝旋紧的方向,,,,ABCD
22,进户点离地面高于2.7m，但为考虑安全起见必须加高的进户线应采取（）进户方式。,塑料护套线穿瓷管进户,绝缘线穿钢管或硬料塑管沿墙敷设,角铁加装绝缘子支持单根绝缘线穿瓷管进户,加装进户杆。,,,,ABCD
23,接户线的定义是（）、进户线的定义是（）。,由供电公司低压架空线路的电杆或墙铁板线支持物直接接至用户墙外支持物间的架空线路部分，称为接户*线,接户线引到用户室内计量电能表（或计量互感器）的一段引线，称为进户线,由供电公司低压架空线路的电杆或墙铁板线支持物直接接至用户墙外支持物间的架空线路部分，称为进户,接户线引到用户室内计量电能表（或计量互感器）的一段引线，称为接户线,,,,AB
24,导线BX、BV、BLV、BVV型号中的各字母代表含义正确的是（）。,第二个字母“X”表示橡皮绝缘,第二个字母“V”表示聚氯乙烯型料绝缘线,第三个字母“V”表示塑料护套,型号中带“L”字母的为铜芯线，不带“L”的为铝导线,,,,ABC
25,在业扩报装中，装表接电工作的重要意义是（）。,装表接电工作质量、服务质量的好坏直接关系到供用电双方的经济效益,装表接电工作是业扩报装全过程的终结，是用户实际取得用电权的标志,装表接电工作是电力销售计量的开始,装表接电工作后客户可任意使用,,,,ABC
26,装设接地线的步骤（）。,停电、验电,对于可能送电到停电设备的各方面或停电设备可能产生感应电压的都要装设接地线,所装接地线与带电部分之间应符合安全距离的规定,装设接地线时，必须由两人进行，先接接地端，后接导体端,,,,ABCD
27,进户点的选择应注意（）。,进户点应尽量靠近供电线路和用电负荷中心，与邻近房屋的进户点尽可能取得一致,同一个单位的一个建筑物内部相连通的房屋、多层住宅的每一个单元同一围墙内、同一用户的所有相邻独立*的建筑物，应只有一个进户点，特殊情况除外,进户点的建筑物应牢固不漏,进户点的位置应明显易见，便于施工和维修,,,,ABCD
28,按经济电流密度选择导线截面的参数是（）。,线路的输送功率、线路的额定电压,电压损失、导线发热条件、机械强度及电晕损失等,功率因数,经济电流密度,,,,ABCD
29,对于高处作业，下列哪些说法是正确的是：（）。,凡在坠落高度基准面1.5m及以上的高处进行的作业，都应视作高处作业,电焊作业人员所使用的安全带或安全绳应有隔热防磨套,高处作业应一律使用工具袋,高处作业区周围的孔洞、沟道等应设盖板、安全网或围栏。同时，应设置安全标志，夜间还应设红灯示警,,,,BCD
30,三相对称负载有功功率的计算公式有（）。,P＝3I2R,P＝3UphIphsin,P＝1.732ULILcos<SPANstyle=,P＝3UphIphcos<SPANstyle=,,,,ACD
31,保证安全的主要技术措施是（）。,停电,验电,装设接地线,悬挂标志牌设置遮拦。,,,,ABCD
32,保证安全的组织措施主要包括哪些（）。,工作票制度,工作许可制度,工作监护制度,工作间断、转移和终结制度。,,,,ABCD
33,常用电气安全工作标示牌有（　　）。,禁止合闸，有人工作！,禁止合闸，线路有人工作！,在此工作！和从此上下！,止步，高压危险！和禁止攀登，高压危险！。,,,,ABCD
34,进户线产权及维护管理划分原则是（）。,进户线工作包括进户点-进户杆-进户线-进户管理,进户线和接户线有供电企业和用户共同管理,进户线与接户线接头处属于责任分界点，从搭头起到用户内部的配电装置属用户设备，由用户负责保管,总熔丝盒及电能计量装置，属供电局设备，并由其负责维护管理。,,,,ACD
35,电能表安装的一般规定是（）。,电能表的安装地点应尽量靠近计量电能的电流和电压互感器,电能表应装在安全-周围环境干燥-光线明亮及便于抄录的地方,必须装在牢固不受振动的墙上，还要考虑维修电表工作的安全，如表位与开关之间的距离不要太近，防止,为使电能表能在带负荷情况下装拆-校验，电能表与电流和电压互感器之间连接的二次导线中间应装有联合,,,,ABCD
36,在业扩报装中，装表接电工作的重要意义体现在（）。,装表接电工作质量-服务质量的好坏直接关系到供用电双方的经济效益,装表接电工作是业扩报装全过程的终结，是用户实际取得用电权的标志,装表接电工作是电力销售计量的开始,装表接电工作是电力服务的开始。,,,,ABC
37,窃电行为是指（）。,在供电企业的供电设施上，擅自接线用电,绕越供电企业的用电计量装置用电,向别人转供电,伪造或者开启法定的或者授权的计量检定机构加封的用电计量装置封印用电的,故意损坏供电企业用电计量装置或使用电计量装置不准或者失效。,,,ABDE
38,电能表的错误接线可分为（）。,电压回路和电流回路发生短路或断路,电压互感器和电流互感器极性接反,电能表接线接触不良,电能表元件中没有接入规定相别的电压和电流。,,,,ABD
39,触电者触及断落在地上的带电高压导线，使其脱离电源时应注意（）。,在未确定线路线路停电时，救护人员在未做好安全措施（如穿绝缘靴或临时双脚并紧跳跃地接近触电者*）前，不能接近断线点至8～10m范围内,触电者脱离带电导线后亦应迅速带至8～10m以外处立即急救,在确认线路已经无电，才可在触电者离开触电导线后，立即就地进行急救,,,,,ABC
40,发现有人员触电时，一般要注意（）。,使触电者迅速脱离电源,把触电者接触的那一部分带电设备的开关分闸,设法将触电者与带电设备脱离,救护者也要注意保护自己不要触电。,,,,ABCD
41,验电的三个步骤为（）,检查各部分螺丝是否紧固,验电前应将验电笔在带电的设备上验电，证实验电笔是否良好,在设备进出线两侧逐相进行验电，不能只验一相,验明无电压后再把验电笔在带电设备上复核是否良好,,,,BCD
42,在（）情况下，供电企业不经批准即可终止向客户供电。,不可抗力和紧急避险,欠电费但未经告示,客户确有窃电行为,拒绝用电安全检查,,,,AC
43,使用万用表注意事项有（）。,使用万用表首先应选择要测量的项目和大概数值（若不清楚大概数值时，应选择本项的最大量程档，然后*再放置近似档测量,要保持安全距离，不得造成相间短路或接地，烧坏设备或危及人身安全,读数应注意所测量项目和量程档的相应刻度盘上的刻度标尺及倍率,使用完后，应将其转换开关拨至“0”档或交流电压最小档,,,,ABC
44,多功能电能表常用的通讯方式有（）。,近红外通讯，即接触式光学接口方式,远红外通讯，即调制型红外光接口方式,RS-485通讯，即RS-485标准串行电气接口方式,无线通讯，如GPRS、GSM等通过无线网络的通讯方式,,,,ABCD
45,在现场测试运行中电能表时，对现场条件要求有（）。,电压对额定值的偏差不应超过±7％,频率对额定值的偏差不应超过±2％,通入标准电能表的电流应不低于其标定电流的30％,现场检验时，负荷电流不低于被检电能表标定电流的10%（S级电能表为5%），或功率因数低于0.5时，不宜,,,,BD
46,使用电压表有（）接线方式。,直接并入,带有附加电阻串入,带有附加电阻并入,带有互感器并入,,,,ACD
47,使用钳型电流表进行测量时，应注意（）。,使用钳型电流表前，先应注意其测量档位，使其指针正确指示，不能使指针过头或指示过小,要保持安全距离，不得造成相间短路或接地，烧坏设备或危及人身安全,可以同时钳住两根绝缘导线或多根绝缘导线,测量时铁芯钳口要紧密闭合，被测导线尽量置于孔中心，以减小测量误差,,,,ABCD
48,进户线一般有如下（）几种形式。,绝缘线穿瓷管进户,加装进户杆、落地杆或短杆,角铁加绝缘子支持单根导线穿管进户,导线直接进户,,,,ABC
49,电力电缆应在（）情况下穿管保护。,电缆引入和引出建筑物、隧道、沟道等处,电缆通过道路，铁路等处,电缆引出或引进地面时，距离地面3m至埋入地下0.1～0.25m一段应加装保护管,电缆可能受到机械损伤的地段,,,,ABD
50,进行电能表安装时的要求有（）。,电能表必须牢固地安装在可靠及干燥的墙板上，其周围环境应干净、明亮，便于装拆、维修,电能表安装的场所必须是干燥、无震动、无腐蚀性气体,电能表的进线、出线，应使用铜芯绝缘线，芯线截面要根据负荷而定，但不得小于1.5mm2，中间不应有接,电能表接线必须正确。如果电能表是经过电流互感器接入电路中，电能表和互感器要尽量靠近些，还要特,,,,ABD
51,安装电能表时应注意的事项是（）。,电能表的电流线圈必须与火线串联，电压线圈并联接入电源侧。此时电能表所测得电能为负载和电流线圈*的消耗电能之和,如果电压线圈并联接在负载端，电能表测得的电能将包括电压线圈消耗的电能，当负载停用时，容易引起电能表潜动,必须弄清楚电能表内部接线和极性，防止电能表电流线圈并联接在电源上，造成短路而烧毁电能表,当电能表经互感器接入电路时，电流互感器应按“加极性”接线。,,,,ABC
52,钳型电流表使用注意事项有（）。,测量前应先估计被测电流的大小，以选择合适的量限。或先用大量限，然后再逐渐切换到适当的量限。注*意不能在测量进行中切换,钳口相接处应保持清洁、使之平整、接触紧密，以保证测量准确,一般钳型电流表适用于低压电路的测量，被测电路的电压不能超过钳型电流表所规定的使用电压,测量时，每次只能钳入一相导线，不能同时钳入两相或三相导线，被测导线应放在钳口中央,使用钳型电流表时，应戴绝缘手套，穿绝缘鞋。读数时要特别注意人体、头部与带电部分保持足够的安全距,测量低压熔断器和水平排列低压母线的电流时，测量前应将各相熔断器和母线用绝缘材料加以隔离，以免引起相间短路,测量完毕后，应把选择开关拨到空档或最小电压量程一档,ABCDEF
53,接入三相四线有功电能表的中线不能与A、B、C中任何一根相线颠倒的原因是（）。,因为三相四线有功电能表接线正常时，三个电压线圈上依次加的都是相电压，即UAN-UBN-UCN,若中线与A-B-C中任何一根相线（如A相线）颠倒，则第一元件上加的电压是UNA-第二-第三元件上加的电*压分别是UBA-UCA。这样，一则错计电量，二则原来接在B-C相的电压线圈和负载承受的电压由220V上升到*380V，结果会使这些设备烧坏,为了防止中线和相线颠倒故障发生，在送电前必须用电压表准确找出中线。即三根线与第四根线的电压分,造成电能表损坏。,,,,ABC
54,串户的危害有哪些,造成计量串户投诉,电费回收难,社会影响恶劣,引发电费纠纷,,,,ABCD
55,以下哪几项是造成串户的原因,电表安装把控不严,线路施工不规范,责任意识不强,表前与表后线路分段管理,,,,ABCD
56,通过拉闸核查户表关系的方式有什么缺点,需与待核实居民沟通协商，排查效率效率低,如遇家中无人，则无法核查,不利于提升用户用电满意度,易引起居民投诉,,,,ABCD
57,不入户串户排查仪有什么优点,不入户不断电,排查过程不接触强电，安全可靠,可以锁定疑似串户进行重点核查，排查效率高,不会引发投诉,,,,ABCD
58,不入户串户排查仪可排查哪些场景的串户问题,新建小区,改造小区,未供电小区,,,,,ABC
59,低压载波集中抄表终端的存储容量应能满足()。,256只电能表的31个日末冻结历史日数据,1个抄表日数据,12个月末冻结（次月1日零点）历史月数据,20个重点用户31天的正、反向有功总电能示值24个整点曲线数据。,,,,ABCD
60,电能表联合接线选用防窃电联合接线盒的用途有（）。,现场实负荷检表和带电状态下拆表、装表做到方便安全防止错接线,防窃电,以保证操作过程中防止电流二次回路开路和电压二次回路短路,,,,,ABC
61,电力网（）。,是将各电压等级的输电线路和各种类型的变电所连接而成的网络,按其在电力系统中的作用不同，分为变电网和配电网,按其在电力系统中的作用不同，分为输电网和变电网,按其在电力系统中的作用不同，分为输电网和配电网,,,,AD
62,全电子式电能表的特点有（）。,测量精度高，工作频带宽，过载能力强,本身功耗比感应式电能表低,由于可将测量值（脉冲）输出，故可进行远方测量,引入单片微机后，可实现功能扩展，制成多功能和智能电能表等,,,,ABCD
63,测量误差的来源有（）。,测量设备误差,测量环境带来的误差,测量人员带来的误差,测量方法带来的误差,被测对象的误差,,,ABCDE
64,电子式电能表按其工作原理的不同可分为（）。,模拟乘法器型电子式电能表,数字乘法器型电子式电能表,模拟数字转换型电子式电能表,,,,,AB
65,集中器显示支持按键()。,查询模式,交互模式,轮显模式,按键设置模式。,,,,ACD
66,更换电流互感器及其二次线时应注意的问题有（）。,更换电流互感器时，应选用电压等级、变比相同并经试验合格的,因容量变化而需更换时，不需校验保护定值和改变仪表倍率,更换一次接线时，应考虑截面芯数必须满足最大负载电流及回路总负载阻抗不超过互感器准确度等级允许,在运行前还应测量极性.,,,,AD
67,集中器可用()方式采集电能表的数据。,实时采集,定时自动采集,自动补抄,手动采集。,,,,ABC
68,电子式电能表中电源降压电路的实现方式有（）。,变压器降压方式,电阻或电容降压方式,开关电源方式,,,,,ABC
69,低压空气断路器有（）脱扣器。,分励脱扣器,欠压脱扣器,欠流脱扣器,过流脱扣器.,,,,ABD
70,电能表安装的一般规定如下（　）。,电能表的安装地点应尽量靠近计量电能的电流和电压互感器,电能表应装在安全、周围环境干燥、光线明亮及便于抄录的地方,为使电能表能在带负荷情况下装拆、校验，电能表与电流和电压互感器之间连接的二次导线中间应装有联,无功电能表接线时，无功电能表按任意相序进行接线,,,,ABC
71,低压集中器初始化有哪几种（）,硬件初始化,数据初始化,参数初始化,保留通讯参数初始化。,,,,ABCD
72,选择电流互感器时应考虑以下（）内容。,根据系统的供电方式，选择互感器的台数和满足继电保护方式的要求,电流互感器的二次额定电压和运行电压相同,根据测量的目的和保护方式的要求，选择其准确度等级,注意使二次负载所消耗的功率不超过额定负载.,,,,ACD
73,智能电能表的光报警事件类型包括（）。,端纽盖打开,时钟电池欠压,失压,电压逆相序。,,,,ABCD
74,智能电能表至少应支持下列哪几个费率（）。,尖,峰,平,谷。,,,,ABCD
75,智能电能表由（）等组成，具有电能量计量、数据处理、实时监测、自动控制、信息交互等功能的电能表*。,测量单元,数据处理单元,通信单元,信息交互单元。,,,,ABC
76,智能电能表按有功电能计量准确度等级可分为（）。,0.2S级,0.5S级,1级,2级。,,,,ABCD
77,三相三线智能表，接入的电流有哪个两相？（）,A相,B相,C相。,,,,,AC
78,下面哪个参数是单相智能表记录的？(）,电压,电流,功率,功率因数。,,,,ABC
79,ESAM模块是嵌入在设备内，实现（）等安全控制功能。,安全存储,数据加/解密,双向身份认证,线路加密传输。,,,,ABCD
80,智能表具有冻结电量的功能，按时间可以分为几类冻结（）。,日冻结,月冻结,年冻结,整点冻结。,,,,ABD
81,智能表至少具有哪两种通讯方式（）,GPRS通讯,载波通讯,红外通讯,485通讯。,,,,CD
82,电表清零指令包含哪几种（）,电表清零,软件清零,最大需量清零,事件清零。,,,,ACD
83,电力运行事故对用户造成的损害由下列那些原因引起时，电力企业不承担赔偿责任。,不可抗力,用户自身的过错,第三人责任,供电企业自身过错,,,,ABC
84,员工服务“十个不准”中规定的不准为客户指定（）。,设计,施工,供电设备,供货单位,,,,ABD
85,低压开关的选用的要求有（　）。,额定电压、额定电流、关合分断短路电流，要大于、等于电路使用地点可能发生的短路电流,要满足使用环境的要求,要考虑操作的频繁程度和对保护的要求,对保护要求高、整流容量要求大的则可用DW型自动空气断路器,,,,ABCD
86,根据“电力供应与使用条例”和“全国供用电规则”对于专用线路供电的计量点的规定如下（　）。,用电计量装置计量点可由供电企业和用户协调指定,用电计量装置应当安装在供电设施与受电设施的产权分界处,安装在用户处的用电计量装置，由用户负责保护,若计量装置不在分界处，所在线路损失及变压器有功、无功损耗全由产权所有者负担,,,,BCD
87,在电力系统运行中，引起过电压的原因有（　）。,电击,操作,短路,雷击,,,,BCD
88,电力供应与使用双方的关系原则是（　）。,应当按照平等自愿、协商一致的原则,应当根据平等自愿、协商一致的原则,按照国务院制定的电力供应与使用办法签订供用电合同，确定双方的权利和义务,根据国务院制定的电力供应与使用办法签订供用电合同，确定双方的权利和义务,,,,BC
89,三相电流（或电压）通过正的最大值的顺序叫相序。其中顺相序有以下组合（　）。,ABC,BCA,ACB,CAB,,,,ABD
90,以下（）行为属于窃电。,绕越供电企业用电计量装置用电,在供电企业的供电设施上擅自接线用电,供电企业用电计量装置不准或失效,伪造或开启供电企业加封的用电计量装置封印用电,故意使供电企业用电计量装置不准或失效,,,ABDE
91,不将用户的功率因数提高到1的原因是（）。,用户的自然功率因数一般在0.8以下，如果补偿到1，则要增加许多补偿设备，从而增加了投资,用户负荷是变化的，若满负荷时的功率因数为1，低负荷时必然造成过补偿,过补偿造成无功过量进相运行，电压过高，影响电压质量,产生冲击性负荷、影响三相负荷平衡,,,,ABC
92,农村低压三相四线制供电线路，三相四线有功电能表带电流互感器接线时应注意的问题有（）。,应按正相序接线,中性线不一定要接入电能表,中性线与相（火）线可以接错,对于低压配电变压器的总电能表、农村台区变压器的总电能表，宜在电能计量的电流、电压回路中加装专,,,,AD
93,低压用户计量用表形式一般有（　　）。,居民住宅一般是用单相220V或三相四线有功电能表,动力、照明混用用户，动力、照明电能表串接或并接,单相供电在负荷电流为100A及以下的可采用直接接入式电能表；100A以上的均应采用经电流互感器接入式,100kVA（kW）及以上的工业、农业用户，均实行力率考核,,,,ABCD
94,对违反《电力设施保护条例》，电力管理部门实施行政处罚的方法有（）。,责令改正,恢复原状,赔偿损失,罚款,,,,ABCD
95,使用仪用电压互感器应该注意（）。,使用前应进行检定。只有通过了检定并合格的电压互感器，才能保证运行时的安全性、准确性、正确性。*其试验的项目有：极性、接线组别、绝缘、误差等,运行中的二次绕组允许短路,二次侧应设保护接地。为防止电压互感器一、二次侧之间绝缘击穿，高电压窜入低压侧造成人身伤亡或设,接临时负载时，不必装专用的开关和熔断器,,,,AC
96,自动低压自动空气断路器的选用原则是（）。,额定电压≥线路额定电压,额定分断电流≥线路中最大短路电流,断路器的分励脱扣器、电磁铁、电动传动机构的额定电压等于控制电源电压,欠压脱扣器额定电压等于线路额定电压,,,,ABCD
97,熔断器的分断能力和保护特性是（）。,熔断器分断能力是指熔断器能切断多大的短路电流,保护特性是熔断器通过的电流超过熔体额定电流的倍数越大，熔体熔断的时间越短,保护特性是熔断器通过的电流超过熔体额定电流的倍数越大，熔体熔断的时间越长,保护特性是熔断器通过的电流超过熔体额定电流的倍数越小，熔体熔断的时间越短,,,,AB
98,县级以上地方人民政府及其经济综合主管部门在安排农业和农村用电指标时，应当优先保证的用电类型是（*）。,农村排涝用电,抗旱用电,照明用电,农业季节性生产用电,,,,ABD
99,国家对电力供应和使用，实行的管理原则是（）。,安全用电,合理利用,节约用电,计划用电,,,,ACD
100,下列哪些通信功能属于I型集中器的上行通信()。,红外口通信,232串口与台体通信,与掌机进行485通信,485口抄表通信,遥信口通信,向主站发心跳帧,,ABCF
