,问题,A,B,C,D,E,F,G,答案
101,故障排查过程中对终端的检查检测内容有（）,观察集中器顶层显示状态有无告警,查看集中器顶层信号强度是否正常,翻屏查看主显示画面、底层显示状态栏瞬时量、任务执行状态、与主站通信状态等是否正常,观察集中器、采集器各类指示灯指示是否正常,检查集中器任务是否下发并启用,测量集中器、采集器供电电压是否正常，确保电源正确接入,用万用表测量电能表RS.485通信端口电压是否正常,ABCDEFG
102,低功耗微功率无线网络，数据传输模型中支持那几种数据传输方式（）。,中心节点主动发送数据到子节点,中心节点被动发送数据到子节点,子节点主动发送数据到中心节点,子节点被动发送数据到中心节点,,,,AC
103,计量现场作业终端外设模块中的采集故障识别模块可用于采集运维故障现场检测的模块，接收计量现场作业*终端指令，可以实现的功能有（）。,SIM卡故障检测,载波模块故障检测,GPRS通信模块故障检测,集中器、采集器和电能表整机通信故障检测,,,,ABD
104,终端在安装固定时，正确的要求是（）。,终端宜安装在计量柜负控小室或其它可靠、防腐蚀、防雨具备专用加封、加锁位置的地方。,终端安装时面板应正对计量柜负控室窗口，以方便终端数据的查询和终端按键的使用。,终端安装应垂直平稳，至少两点固定。,终端外壳金属部分必须可靠接地。,,,,ABD
105,下列哪种情况发生时会引起采集器和集中器有记录和报警功能。,有故障检测功能的采集器或集中器通信线路发生断路或短路故障时,采集器或集中器的采集信道或通信信道发生故障时,采集器或集中器工作所需的主备电源发生故障时,远传表计量数据发生突变等异常现象时。,,,,ABCD
106,以下()属于低压电力线载波传输方式通信单元。,I型采集器载带载波模块,集中器宽带载波模块,单相表宽带载波模块,载波抄控器,,,,ABCD
107,下列哪种情况发生时会引起采集器和集中器有记录和报警功能。（）,有故障检测功能的采集器或集中器通信线路发生断路或短路故障时,采集器或集中器的采集信道或通信信道发生故障时,采集器或集中器工作所需的主备电源发生故障时,远传表计量数据发生突变等异常现象时,,,,ABCD
108,现场作业终端能够处理采集运维闭环管理模块下列那（）类工单。,采集异常工单,计量异常工单,现场巡视工单,现场补抄工单,,,,ABCD
109,运行计量箱故障类别分为（）,设备质量故障,工作质量,不可抗力和其他,外部因素,,,,ABCD
110,终端装拆及验收时，具有（）防范类型。,人身触电与伤害,机械伤害,高空坠落,设备损坏,,,,ABCD
111,国家电网公司计量现场作业终端采集故障识别主要有（）等功能。,SIM卡故障识别,集中器本地通信故障识别,采集器本地通信故障识别,电能表本地通信故障及本地通信模块识别,,,,ABCD
112,国家电网公司计量现场作业终端计量故障识别除包含计量误差检测、台区识别功能外，还包含（）功能,串户检测,接线错误检测,谐波检测,运行工况数据采集,,,,ABCD
113,国家电网公司计量现场作业终端安全方面要求下列哪些描述正确,应自动记录现场作业人员的重要操作步骤，并上传管理系统；,应具有防止计量现场作业终端内信息泄露的功能；,应具有防止借助计量现场作业终端攻击管理系统的功能；,计量现场作业终端内工单数据应来源于并只能来源于管理系统。,,,,ABCD
114,国家电网公司计量现场作业终端计量现场作业终端地图功能应满足哪些要求（）,应支持地图数据与导航算法的升级；,地图中应能显示工单位置和概要信息；,地图中应能显示现场作业人员位置，并应支持路径规划和导航；,工单处理时，应能快速切换到地图界面及开机状态下应定时记录现场作业人员位置。,,,,ABCD
115,国家电网公司计量现场作业终端三相计量故障识别模块，标准参比电压为,57.7V,100V,220V,380V,,,,ABCD
116,（）情况造成电表和采集器无法正常工作。,采集器485线与电表连接接反,采集器485线与电表连接接短路,采集器485线未接好脱落,电表485接口有问题,,,,ABCD
117,Ⅰ集中器可屏显的实时数据项有（）等。,正、反向电能示值,四象限无功,功率、电压、电流、功率因数,需量,,,,ABCD
118,主站可以向终端下发剔除投入命令，使终端处于剔除状态，此时终端对任何（）均不响应,广播命令,对时命令,组地址命令,遥控命令,,,,AC
119,下列属于终端本地升级方式是（）。,U盘,232.0,FTP,主站,,,,ABC
120,以下通信方式属于有线通信方式的是()。,电力线载波,以太网,PSTN,电信专网,,,,ABC
121,某供电公司采集运维人员在监控过程中发现莫|型集中器运行状态正常，但设备下所有电能表均采集失败，初*步判断可能存在得故障情况有（）。,集中器接线错误,表计RS-485接口故障,载波模块故障,sim卡故障,,,,ABC
122,220V电能计量装置采用箱式结构（）,单体独立式,单体组合箱组式,整体形式,复合形式,,,,ABC
123,专变采集终端接入的断路器控制回路应满足以下要求：,有电源监测，跳、合闸绕组回路完整性监测；,有指示和上传断路器合闸与跳闸的位置状态，自动合闸或跳闸时有明显信号，并且完成后应使命令脉冲自动*解除；,有防止断路器“跳跃”的电气闭锁装置；,控制回路电缆截面不小于2.5mm2。,,,,ABC
124,关于低压采集终端的安装位置（）,可独立安装在采集终端箱里,可安装在集中式表箱的空表位,可安装在集中式计量箱的总进线空开下方,可安装在计量箱开关室内,,,,ABC
125,国家电网公司计量现场作业终端外设硬件主要有（）模块,采集故障识别模块,计量故障识别模块,超高频RFID模块,通信检测模块,,,,ABC
126,国家电网公司计量现场作业终端结合采集故障识别模块能够进行下列哪几类故障识别.（）,集中器本地通信故障识别,采集器本地通信故障识别,电能表本地通信故障识别,所有通信模块故障识别,,,,ABC
127,国家电网公司计量现场作业终端基础硬件包括（）；按键；时钟；声光及振动提示；,CPU、存储器、操作系统；,显示屏；,传感器；,外壳；,,,,ABC
128,低压集中器终端的主要功能有（）。,远程通信功能,抄表功能,数据存储功能,跳闸功能,,,,ABC
129,专变采集终端集据采集的必备功能包括（）。,电能表数据采集,状态量采集,脉冲量采集,交流模拟量采集,,,,ABC
130,专变采集终端本地通信调试的参数包括（）,电能表地址,规约,波特率,信号频率,,,,ABC
131,采集终端无法通讯包含（）等原因。,终端故障,SIM卡坏,移动信号弱,采集覆盖率低,,,,ABC
132,现场施工完毕后应核对集中器、采集器（）等信息，确保现场信息与工作单一致。,编号,型号,安装地址,户号,,,,ABC
133,专变采集终端能按设定的（）或（）对电能表数据进行采集、存储，并在主站召测时发送给主站，终端记录*的电能表数据，应与所连接的电能表显示的相应数据一致。,终端抄表日,定时采集时间间隔,自动采集时间间隔,终端采集周期,,,,AB
134,针对采集系统时钟偏差正确的说法有。（）,电表时钟偏差是电表本身故障造成，对于严重偏差的电表，会造成终端冻结示数失败,载波方案下时钟偏差表计一般不做对时操作，会把正常表计时钟带偏,载波方案下时钟偏差表计可以做对时操作，不会把正常表计时钟带偏,时钟偏差不会影响电表示数的采集,,,,AB
135,本地查看低压集抄终端所有表计均未抄到的可能原因是（）。,485总线短路,低压集抄终端485接口坏,个别表地址错误,APN设置错,,,,AB
136,用电信息采集终端按应用场所分为（）、分布式能源监控终端等类型。,专变采集终端,集中抄表终端,抄表掌机,电能表,,,,AB
137,安装终端天线调整方向时应注意（）,终端天线引向器应对准主台方向或中继站方向,终端天线反射器应准确对准主台方向或中继站方向,天线所对的方向应避开近距离的建筑物和其它物体的阻挡,天线所对的方向应避开远距离的建筑物和其它物体的阻挡,,,,AC
138,拆除专变采集终端时应（）,短接控制回路常闭接点,断开控制回路常闭接点,断开控制回路常开接点,短接控制回路常开接点,,,,AC
139,终端初始化包括()初始化、参数区初始化、数据区初始化、()初始化。,软件,硬件,程序,非通信参数,,,,BD
140,用电信息采集系统主站偶尔接收不到终端登录报文原因可能是()。,停上电事件上报影响,终端天线被剪断,终端通信模块故障,终端下行信号不稳定,,,,AC
141,低压采集终端已经连续超过5小时未与主站进行成功通信，规约要求终端自己在检测到连续5小时无通信时*，要进行强制（）操作。,断电,自动复位,主动上报,重启,,,,ACD
142,以下哪些设备可用于用电信息采集()。,A.I型专变终端,B.集中器,C.中继器,D.采集器,E.感应式电能表,,,ABCD
143,在处理集中器的本地信道故障时，工作班成员主要负责如下工作：（）,电能表与集中器、采集器之间RS485通信线缆的连接，如存在错接、短路、断路等现象，应进行重新连接。,末端表计与集中器之间的电缆连线长度过短时应调整方案。,如低压载波通道的可靠性较低，应进行原因分析。,如存在强干扰源或负载一直过重，可考虑增加滤波设备，必要时可通知设备管理单位协助解决。,,,,ACD
144,集中器是指（）的设备。,收集各采集器或电能表的数据,进行指令分配或清除,能和主站或手持设备进行数据交换,进行处理储存,,,,ACD
145,关于微功率无线通信说法正确的是,电能表与载波微功率通信模块之间的通信遵循DL/T645―2007协议及其备案文件。,接口通信速率缺省值为4800bps。,如采用外置即插即用型微功率通信模块的电能表，微功率通信接口应有失效保护电路，即在未接入、接入,在微功率通信时，电能表的计量性能、存储的计量数据和参数不应受到影响和改变。,,,,ACD
146,以下哪些情况，可以通过低压电力线载波通道进行通信（）。,采集器与电表,集中器与集中器,集中器与接口转换器,接口转换器与水表,接口转换器与采集器,,,ACE
147,关于Ⅱ型集中器的安装，以下说法错误的是（）,Ⅱ型集中器安装时的安装角度在垂直1度以内,Ⅱ型集中器安装位置应避免影响其他设备的操作,Ⅱ型集中器安装时应用螺钉三点固定,接入Ⅱ型集中器的电源时必须采取停电措施,,,,AD
148,集中器在线但只抄总表，最有可能的原因是（）。,集中器某两相电源未接。,采集器RS485线接错或集中器上行模块故障。,集中器载波模块故障或集中器死机。,集中器载波芯片与采集器（或载波表）载波芯片不匹配。,,,,AD
149,国网II型采集器在什么情况下启动搜表功能（）。,采集器定时搜表,接到集中器搜表指令,上电后开始搜表,接到集中器抄表指令,,,,BC
150,终端在以下哪些状态下可以拆除（）。,暂停,报修,停运,停电,,,,BC
151,以下说法正确的是（）,主站与终端的参数不一致时，必然是主站的参数正确、终端的参数错误,在实际工作中，可能会出现终端内参数丢失的情况,计量点参数配置不正确时，可能会出现电量数据可采集而电压数据不可采集的情况,电能表的表地址，必然与其局编号相等或是局编号的一部分,,,,BC
152,I型载波集中器，载波模块故障后更换了新的载波模块后，载波模块将会启动哪些功能（）。,与主站进行档案匹配,与集中器进行档案匹配,抄表路由学习,载波组网,,,,BCD
153,计量现场手持设备下行通信接口可以有（）。,USB接口,红外接口,485接口,蓝牙接口,,,,BCD
154,（）型号的终端第一个测量点电表不能删除。,DC.GL14,GPRS电能表（用户）,DJ.GZ24（载波集中器）,GPRS电能表（配变）,,,,BCD
155,（）型号终端的默认电表，系统不做自动换表操作。,DC.GL14,GPRS电能表（用户）,DJ.GZ24（载波集中器）,GPRS电能表（配变）,,,,BCD
156,以下对Ⅰ型集中器状态指示T/R灯描述不正确的是（）。,模块数据通信指示灯，红绿双色。,以太网数据指示灯，红色。,模块上电指示灯，红色。,以太网状态指示灯，绿色。,,,,BCD
157,公网终端收不到信号，其可能原因有（）。,频点或通信波特率设置错误,网络信号不好,通信模块损坏,天线位置或方向问题,,,,BCD
158,国网I型集中器在实际运行中，当出现时钟欠压时，哪些操作将不会受到影响（）。,日冻结抄读,1类数据抄读,主站远程召测数据,本地点抄,事件上报,,,BCDE
159,时钟电池电量耗尽会造成时钟芯片停止工作，并伴随电能表（）（时钟电池欠压）和（）（时钟错乱）的报*警。,Err-02,Err-04,Err-06,Err-08,,,,BD
160,某工作人员根据工单到达现场后，发现终端接线松落，终端无电，重新接好后仍无法上线，后更换SIM卡，抄*表成功。则该工作人员回复工单时，在故障类型中应勾选（）,接线：485线,SIM卡：故障,SIM卡：重插,接线：电源线,,,,BD
161,目前主流本地下行通信方式有（）,光纤,载波,230MHz,微功率无线,,,,BD
162,不同电力线载波方案的采集设备，因（）和（）不同，无法互联互通，现场安装应禁止同一台区不同载*波方案的混装。,厂商,数据传输功能,调制方式,中心频率,,,,CD
163,若终端只接收灯亮，发射灯不亮，则表明终端未响应，其可能的原因是（）,脉冲线未接好,输出脉冲异常,地址设置错误,终端接收信号较弱不能有效解码,,,,CD
164,以下哪些不属于用电信息采集设备（）,I型专变终端,集中器,电表,采集器,互感器,,,CE
165,《电能计量装置通用设计规范》中提出，采集终端安装应选择()的场所。,具备通信条件,方便安装,易于维护,交通便利,,,,ABC
166,采集系统现场设各常规巡视应结合同步开展的工作有()。,用电检查,周期性核抄,现场校验,终端调试,,,,ABC
167,现场作业终端能够处理采集运维闭环管理模块下列那()类工单。,采集异常工单,计量异常工单,现场巡视工单,现场补抄工单,,,,ABCD
168,现场巡视的内容包含(),电能表、采集终端、计量箱门的封印是否完整、是否有破损；,采集终端线头是否松动或有烧痕迹，液晶显示屏是否清晰或不显示,采集终端天线是否损坏，无线公网信道信号强度是否满足要求,采集终端运行环境是否满足现场安全工作要求,,,,ABCD
169,现场巡检的巡检记录应该包含(),巡检日期,巡视人员,巡视内容及结果,现场设备照片,,,,ABCD
170,光纤通信信道的巡视是维护的一项重要工作，巡视分为()。,周期巡视,例行巡视,故障巡视,配合巡视,,,,AC
171,根据《国家电网公司用电信息采集系统运行维护管理办法》，现场设备巡视包括以下(),终端、箱门的封印是否完整,采集终端的线头是否松动或有烧痕迹,抄表数据是否正确,电能表、采集设备是否有报警、异常等情况发生,,,,ABD
172,住宅电度表箱主要组成元件的作用和要求是（）。,盘面。起承托电器、仪表和导线的作用,单相电度表。单相电度表的额客电流应大于室内所有用电器具的总电流,熔体盒:熔体盒内装有熔体，它对电路起短路保护作用。漏电保护开关（器）:采用保护接地或保护接零，在,接触器。配电盘上的接触器用来控制用户电路与电源之间的通断。,,,,ABC
173,抄表器主要功能有（）。,抄表功能、防止估抄功能、纠错功能,计算功能、统计功能,检索功能、报警功能、通信功能,控制功能。,,,,ABC
174,专变采集终端与主站数据传输通道可采用的通信方式（）。,A.专网230MHz,B.无线公网（GSM/GPRS/CDMA等）,C.以太网,D.光纤,E.微功率无线,,,ABCD
175,电流互感器的作用有（）。,避免测量仪表和工作人员与高压回路直接接触，保证人员和设备的安全,使测量仪表小型化、标准化,利用电流互感器扩大表计的测量范围，提高仪表测量的准确度,降低生产成本,,,,ABC
176,国家电网公司计量现场作业终端公网无线通信接口支主要持（）等网络制式。,TD-LTE,FDD-LTE,WCDMA,EVDO,,,,ABCD
177,集抄终端调试，对电表（）参数可以进行批量修改。,电表规约,大小类号,采集端口,通信速率。,,,,ABD
178,电能计量装置新装完工后，在送电前检查的内容是（）。,检查工具、物件等不应遗留在设备上,检查电能表的接线盒内螺丝是否全部旋紧，线头有无外露,检查电流、电压互感器二次侧及外壳和电能表的外壳是否接地,核查电流、电压互感器倍率是否正确,,,,ABCD
179,《国家电网公司用电信息采集系统运行维护管理办法》规定，设备巡视周期不超过12个月的设备有()。,农排费控终端,通信模块,低压电能表,计量箱,,,,BCD
180,《国家电网公司用电信息采集系统运行维护管理办法》规定，现场设备的常规巡视应结合()工作同步开展。,用电检查,周期性核抄,现场检验,采集运维,,,,ABCD
181,远方抄表的RS-485接口性能参数有（）。,最大数据传输率：10Mb／s,最大传输距离：1200m,驱动器输出（加载）电压：±2-5V,接收器输入电压：－7～＋12V,,,,ABD
182,负荷控制终端的电源一般应具备（）性能。,功耗大,可靠性高,稳压性能好，有过电压、过电流保护,抗干扰,,,,BCD
183,电能量采集系统中采集终端按应用场所分为（）等类型。,230Mhz专网终端,GPRS、CDMA和3G等无线公网终端,载波、微功率无线式电能表,低压集中抄表终端（包括低压集中器、低压采集器）,,,,ABCD
184,电能量采集系统中现场终端到现场被采集仪表之间通讯通道称为本地信道，适用于本地信道中的窄带电力线*载波应具有的主要性能参数为（）。,传输速率：50bps-13.7kbps,传输误码率≤10-5,传输距离：1000m-5000m,集中器单点抄表时间＜10s,,,,ABD
185,电能量采集系统中现场终端到现场被采集仪表之间通讯通道称为本地信道，适用于电能量采集系统的本地通*道主要有（）等类型。,配电光纤专网,低压电力线载波,中压电力线载波,RS485通信,微功率无线网络。,,,BDE
186,有关RS485通讯接口的叙述（）是正确的。,RS－485接口是美国电子工业协会（EIA）的数据传输标准,RS－485接口允许最长传输距离是1200M,RS－485口是（半双工）串行通信接口,RS－485口采用单端驱动非差分接收方式。,,,,ABC
187,主台对230MHz终端的采集方式按召测方式分为（）。,随机巡测,自动巡测,人工召测,事件自动上报,,,,ABC
188,维护中若发现终端内的脉冲灯不闪亮，而用户正常用电，可能是（）。,计量表故障,终端脉冲接口故障,主板故障,脉冲线短路,终端电源12V坏。,,,ABDE
189,集中抄表终端的功能配置，正确的是（）。,数据采集,数据管理和存储,参数设置和查询,事件记录,,,,ABCD
190,集中抄表终端应能按要求对采集数据进行分类存储，如（）。,日末冻结数据,抄表日冻结数据,曲线数据,历史月数据。,,,,ABCD
191,现场巡检采集终端，要求正确的是以下几个？,终端地址不能为空,"运行终端下所有电表都有箱体,采集成功率大于等于98%","运行终端下所有电表都有箱体并且在同一个箱体中,采集成功率大于等于98%",终端的SIM卡已入库。,,,,ABD
192,二次回路对电缆截面积要求有（　）。,按机械强度要求选择，当使用在交流回路时，最小截面应不小于2.5mm2,按机械强度要求选择，当使用在交流电压回路或直流控制及信号回路时，不应小于1.5mm2,按电气要求选择，一般应按表计准确度等级或电流互感器10%的误差曲线来选择,按电气要求选择，在交流电压回路中，则应按允许电压降选择,,,,ABCD
193,专变采集终端本地通信单元弱电接口的供电电源为()。,12V和5V,12V和3.3V,5V和3.3V,4V和3.3V,,,,A
194,终端安装时采用12V负先进表计的接线方式接表计，有、无功脉冲接线选用电能表的（）脉冲输出。,共发射极无源,共集电极无源,空触点型,共发射极有源,,,,AC
195,采用12V正先进终端接线方式接表计时，有、无功脉冲接线选用（）脉冲输出表。,共发射极无源,共集电极型无源,空触点型,共集电极型有源,,,,AC
196,B、C类电压监测点未正确关联，可能原因有：(),供电电压测点未登记,未注册,用采与专业版客户端内关联的计量点不一致,用户已换表,,,,ABCD
197,电压质量监测管理对提高()着重要作用。,电网稳定运行,安全生产,产品质量,节能降耗,,,,ABCD
198,专变采集终端获取模拟量（电压电流）数据的途径有()。,读取电表的模拟量数据,通过交采装置,通过脉冲计算,通过模拟量变送器,,,,ABD
199,"带电调换低压单相电能表,作业人员戴安全帽,穿()袖口扣牢,(),戴(),佩戴(),站在(),使用()。",棉质长袖工作服,双脚穿电工绝缘鞋,棉质手套,防护目镜,干燥的绝缘板上,合格的绝缘电工工具,,ABCDEF
200,"带电调换低压单相电能表,对于在金属箱柜安装的电能表应在电能表下部表与后壁之间垫一块干燥绝缘的板状*物,可以用()、()、(),防止带电导线拔出后触碰金属物体引起接地短路事故。",干燥纸板,木质层板,薄的塑料板,金属板,,,,ABC
201,架空线路定期巡视的内容有（）,查明沿线有否可能影响线路安全运行的各种状况,巡查拉线是否断股、锈蚀,巡查导线和避雷线有无断股、锈蚀、过热等,防雷设施有无异状.,,,,ABCD
202,二次回路对电缆截面积要求有（　　）。,按机械强度要求选择，当使用在交流回路时，最小截面应不小于2.5mm2,按机械强度要求选择，当使用在交流电压回路或直流控制及信号回路时，不应小于1.5mm2,按电气要求选择，一般应按表计准确度等级或电流互感器10%的误差曲线来选择,按电气要求选择，在交流电压回路中，则应按允许电压降选择,,,,ABCD
203,现场巡视电能表、互感器及二次回路的标准要求有（　　）。,在可能的情况下，电压互感器应尽量接在电流互感器的电源侧,电压、电流互感器二次回路应可靠接地，且接地点只有一个,6~35kV电压互感器一次侧装设熔断器，二次侧不装熔断器，二次回路中不得串接隔离开关辅助接点,电能计量装置垂直度倾斜不超过5度,,,,BC
204,电能计量装置二次回路的配置原则是（　　）。,互感器二次回路的连接导线应采用铜质单芯绝缘线,"35kV以下贸易结算用电能计量装置中电压互感器二次回路,应不装设隔离开关辅助触点，但可装设熔断器",互感器的二次回路不得接入与电能计量无关的设备,未配置计量柜（箱）的，其互感器二次回路的所有接线端子、试验端子应实施铅封,,,,ACD
205,电能表通电后，显示器的各项功能应满足（　　）要求。,测量值显示位数应不少于6位（含1-3小数位），并可通过编程选定,需要时应能自动循环显示所有的预置数据,辅助电源失电后，能通过外接电源和接口或其他方式，显示当时的读数，供工作人员抄录,需要时应能手动循环显示所有的预置数据,,,,ABC
206,参与低压计量箱进户线工程施工的工作人员需满足下列条件（）,施工单位资质和人员资质需满足工程建设需求。,所有参加人员必须配置齐全的安全劳工工具，安全工器具在有效期内。,所有施工人员必须参加业主项目部或监理项目部的安全培训和安全交底会议。,填写现场安全工作票、召集施工小组召开开工会、布置现场工作范围和安全危险点告知。,,,,ABCD
207,进户线安装要求有（）。,进户点处的建筑应牢固和不渗漏水，保证施工安全及便于维修。,进户线路不宜与通讯线、有线电视线、广播线、互联网线在同一进户点进户。,宜接近供电线路和用电负荷中心，与邻近房屋的进户点宜取得一致。,进户线路不宜与通讯线、有线电视线、广播线、互联网线在同一进户点进户。,,,,ABCD
208,计量箱现场安装需满足（）。,满足相关保护接地要求,对分散的单户住宅用电，计量点宜设置在客户门外或院墙门外左右侧,对相对集中的单户住宅用电，其电能表宜采用集中安装方式，计量点应设置在墙面或其他合适的位置,安装位置与采暖管、煤气管道距离不小于300mm，与给、排水管道距离不小于200mm。,,,,ABCD
209,计量箱进户线工程实施施工前，工作人员应熟悉施工方案，准备（）、安全防护器具和领取相应甲供材料。,施工现场平面草图,台区资料,485线,表箱或单元门的钥匙,,,,ABCD
